episode,total_reward,actor_loss,critic_loss,stage
1,-590125.9183818568,111.81047058105469,52377904.0,easy
2,-490046.8968019266,1733.4617919921875,60200492.0,easy
3,-50034.1947088089,3492.67333984375,31539410.0,easy
4,9987.821581250804,4913.060546875,15428768.0,easy
5,9987.803611099007,6280.556640625,29412576.0,easy
6,9987.70425549734,7249.08935546875,15053636.0,easy
7,9987.684801370515,7905.8896484375,9784239.0,easy
8,9987.587656918497,8667.099609375,9223402.0,easy
9,9987.499327904878,9162.916015625,6942781.0,easy
10,9987.576158752563,9660.017578125,12922037.0,easy
11,9987.621401145168,9618.7109375,9191020.0,easy
12,9987.67486747336,9994.3935546875,9201466.0,easy
13,9987.684415092655,10059.291015625,3225389.0,easy
14,9987.741452325208,9928.1904296875,19124870.0,easy
15,9987.57646610679,9752.884765625,3148515.25,easy
16,9987.666500552232,9921.9013671875,9180648.0,easy
17,9987.586257991537,9369.1103515625,6180870.0,easy
18,9987.778728689636,9560.3583984375,13907556.0,easy
19,9987.73326105712,9293.53515625,6198296.0,easy
20,9987.661539111868,9034.4541015625,3806714.5,easy
21,9987.627558055656,8885.9521484375,3146663.75,easy
22,9987.614294181227,8786.935546875,4416935.5,easy
23,9987.603998670613,8531.30859375,3120873.0,easy
24,9987.837393364585,8327.9921875,3121603.25,easy
25,9987.76497211964,8264.9541015625,10382035.0,easy
26,9987.751628389811,8150.7255859375,6723561.0,easy
27,9987.711717925995,7451.9970703125,3597093.75,easy
28,9987.59417281292,7486.7666015625,4053386.0,easy
29,9987.759219275435,7310.298828125,3115785.25,easy
30,9987.65336797899,7258.24609375,56980.34765625,easy
31,9987.687415717952,7064.29150390625,9642842.0,easy
