Layer,Task_Size_MB,Total_Delay_ms,Energy_J,Cost_USD,Reliability,Distance_km
Ground,1,100.5,10.1,0.0,0.7,0.0
Edge,1,35.0,3.1,0.01,0.85,0.5
Fog,1,32.0,1.1,0.05,0.95,5.0
Cloud,1,82.0,0.30000000000000004,0.1,0.99,100.0
Ground,5,100.5,10.5,0.0,0.7,0.0
Edge,5,75.0,3.5,0.05,0.85,0.5
Fog,5,40.0,1.5,0.25,0.95,5.0
Cloud,5,86.0,0.7,0.5,0.99,100.0
Ground,10,100.5,11.0,0.0,0.7,0.0
Edge,10,125.0,4.0,0.1,0.85,0.5
Fog,10,50.0,2.0,0.5,0.95,5.0
Cloud,10,91.0,1.2,1.0,0.99,100.0
Ground,20,100.5,12.0,0.0,0.7,0.0
Edge,20,225.0,5.0,0.2,0.85,0.5
Fog,20,70.0,3.0,1.0,0.95,5.0
Cloud,20,101.0,2.2,2.0,0.99,100.0
Ground,50,100.5,15.0,0.0,0.7,0.0
Edge,50,525.0,8.0,0.5,0.85,0.5
Fog,50,130.0,6.0,2.5,0.95,5.0
Cloud,50,131.0,5.2,5.0,0.99,100.0
Ground,100,100.5,20.0,0.0,0.7,0.0
Edge,100,1025.0,13.0,1.0,0.85,0.5
Fog,100,230.0,11.0,5.0,0.95,5.0
Cloud,100,181.0,10.2,10.0,0.99,100.0
